126,Hyperion,The First Fifteen Lives of Harry August,2
127,A Memory Called Empire,The Secret Place,2
128,American Gods,Fall,2
129,Fates and Furies,Middlegame,1
130,American Gods,Ancillary Justice,1
131,The Fifth Season,The Name of the Wind,2
132,The Ocean at the End of the Lane,The Moon is a Harsh Mistress,2
133,Middlegame,Foundation,2
134,The First Fifteen Lives of Harry August,Ancillary Justice,1
135,The Dispossessed,The Golden Compass,1
136,The Name of the Wind,The Hero of Ages,1
137,American Gods,The Way of Kings,1
138,Gideon the Ninth,Annihilation,1
139,A Memory Called Empire,Mistborn,2
140,Carrie,Leviathan Wakes,1
141,The Three-Body Problem,The Left Hand of Darkness,2
142,Dune,The Name of the Wind,1
143,The Secret Place,The Moon is a Harsh Mistress,2
144,The Secret Place,This is How You Lose the Time War,1
145,The Well of Ascension,Warbreaker,1
146,The Fifth Season,Jonathan Strange & Mr. Norrell,2
147,Foucalt's Pendulum,The Name of the Wind,2
148,The Long Way to a Small, Angry Planet,The Black Company,1
149,American Gods,The Left Hand of Darkness,2
150,The Likeness,The Name of the Wind,2
151,The Player of Games,The Ocean at the End of the Lane,1
152,Fates and Furies,Foundation,1
153,Recursion,Dune,2
154,Warbreaker,Annihilation,2
155,The Left Hand of Darkness,The Hero of Ages,1
156,The Diamond Age,Mistborn,1
157,A Memory Called Empire,A Wizard of Earthsea,2
158,The Fifth Season,Jonathan Strange & Mr. Norrell,2
159,John Dies at the End,Blindsight,2
160,Foundation,Good Omens,2
161,Children of Time,Foucalt's Pendulum,1
162,Annihilation,Carrie,2
163,The Fifth Season,The First Fifteen Lives of Harry August,2
164,Ghost Story,Mistborn,2
165,Foucalt's Pendulum,The Well of Ascension,2
166,The Way of Kings,Gideon the Ninth,2
167,Annihilation,A Memory Called Empire,2
168,Old Man's War,Foucalt's Pendulum,1
169,The Secret Place,The Hero of Ages,1
170,The Black Company,Recursion,2
171,Hyperion,The Moon is a Harsh Mistress,2
172,The Secret Place,Wool,1
173,Carrie,Words of Radiance,1
174,The 7 1/2 Deaths of Evelyn Hardcastle,Middlegame,1
175,The Black Company,Leviathan Wakes,2
176,The Name of the Wind,The Hero of Ages,1
177,Gideon the Ninth,The Diamond Age,2
178,The 7 1/2 Deaths of Evelyn Hardcastle,The Long Way to a Small, Angry Planet,1
179,A Wizard of Earthsea,Foundation,1
180,Blindsight,Children of Time,1
181,Mistborn,Wool,1
182,Ancillary Justice,The Golden Compass,1
183,Foundation,The Left Hand of Darkness,2
184,Children of Time,Hyperion,2
185,The Ocean at the End of the Lane,The Way of Kings,2
186,The Fifth Season,Ghost Story,1
187,Middlegame,The Black Company,1
188,A Wizard of Earthsea,American Gods,2
189,The Hero of Ages,Gideon the Ninth,2
190,The Hero of Ages,The Left Hand of Darkness,2
191,This is How You Lose the Time War,Recursion,1
